Geneid	Sam1	Sam2	Sam3
Aeromonas sp. ZOR0001	1.21e-05	9.6e-05	0
Escherichia sp. B1147	0.000108169	0	0
Enterobacteria phage Sf101	0	0	0.000108639
Riemerella anatipestifer	0.00010916	0	0
Erysipelatoclostridium ramosum	2.68e-05	8.24e-05	0
Pseudomonas aeruginosa	6.38e-05	4.55e-05	0
Streptomyces sp. AVP053U2	0.000109302	0	0
Erysipelotrichaceae bacterium 5_2_54FAA	8.99e-06	7.41e-05	2.64e-05
Clostridiales bacterium VE202-15	2.6e-05	8.37e-05	0
Paraburkholderia glathei	0.000109845	0	0
Bifidobacterium bifidum CAG:234	1.02e-05	9.99e-05	0
Pneumocystis jirovecii	1.57e-05	9.48e-05	0
Sutterellaceae bacterium ND3	0	3.83e-05	7.23e-05
Veillonella rogosae	0	0.000110953	0
Aureispira sp. CCB-QB1	0.000111008	0	0
[Kitasatospora] papulosa	0	0.000111071	0
Prevotella pleuritidis	1.66e-05	4.4e-05	5.1e-05
Escherichia sp. KTE31	0.000112088	0	0
Holdemanella biformis	0	0.000102231	1.1e-05
Ruminococcus sp. CAG:17	0	0.000113342	0
Mesorhizobium sp. ORS3324	0.000113376	0	0
Acetivibrio ethanolgignens	6.12e-05	3.05e-05	2.17e-05
Mesorhizobium sp. SOD10	0.000114886	0	0
Gardnerella sp. 26-12	0	0.000115299	0
Propionibacterium acnes	1.76e-05	9.79e-05	0
Eubacterium sp. CAG:202	1.76e-05	9.82e-05	0
Mesorhizobium sp. LSHC412B00	0.000116203	0	0
Oscillibacter sp. CAG:241	0	0.000116282	0
Bacteroides eggerthii CAG:109	0	8.91e-05	2.73e-05
[Clostridium] scindens	1.05e-05	9.09e-05	1.51e-05
Levyella massiliensis	1.34e-05	6.48e-05	3.86e-05
Pelomonas sp. JGI 0001002-B21	0.000118582	0	0
Erysipelotrichaceae bacterium MTC7	1.42e-05	0	0.000104439
Coprobacter secundus	1.56e-05	7.96e-05	2.5e-05
Rhodococcus sp. EsD8	0.000120734	0	0
Labrenzia aggregata	0.000120751	0	0
Enterococcus faecium	1.82e-05	0.00010263	0
Enterococcus phage EF62phi	0.000120983	0	0
Prevotella sp. HJM029	0	7.12e-05	4.98e-05
Weeksella sp. Marseille-P2517	0.000121079	0	0
Clostridium sp. FS41	0	8.99e-05	3.24e-05
Roseburia intestinalis CAG:13	0	0.000123448	0
Prevotella salivae	2.08e-05	6.08e-05	4.35e-05
Achromobacter xylosoxidans	4.3e-05	8.27e-05	0
Prevotella oris	1.45e-05	6.09e-05	5.15e-05
Turicibacter sp. H121	2.83e-05	0	0.000100864
Enterobacter sp. GN02174	0.000129285	0	0
Holdemania massiliensis	0	9.72e-05	3.21e-05
Enterobacteria phage P2	0	0	0.000129316
Firmicutes bacterium CAG:227	0	0	0.000129561
Butyricicoccus sp. N15.MGS-46	1.25e-05	4.87e-05	6.84e-05
Megamonas rupellensis	5.9e-05	7.09e-05	0
Blumeria graminis	2.5e-05	0.000105184	0
Intestinibacter bartlettii	7.54e-06	7.34e-05	4.97e-05
Coprococcus sp. ART55/1	7.61e-06	0.000104473	2.07e-05
Fusobacterium sp. OBRC1	0	0.000133368	0
Citrobacter sp. S-77	0	0.000133986	0
Clostridium phage phiCD211	0	0.000134211	0
Parabacteroides johnsonii CAG:246	4.84e-05	5.16e-05	3.5e-05
Faecalitalea cylindroides	2e-05	7.33e-05	4.31e-05
Clostridium paraputrificum	0	0.000138458	0
Shigella phage SfII	0.000100636	4.04e-05	0
Clostridium sp. KLE 1755	1.76e-05	0.000102609	2.26e-05
Clostridiales bacterium VE202-27	6.07e-05	5.72e-05	2.53e-05
Collinsella aerofaciens	0	0.000145098	0
Clostridiales bacterium VE202-13	4.19e-05	8.09e-05	2.31e-05
Coprobacillus sp. 8_2_54BFAA	4.03e-05	8.99e-05	2.04e-05
Bacteroidaceae bacterium MS4	5.36e-05	4.47e-05	5.25e-05
Coprobacillus sp. 8_1_38FAA	0	5.83e-05	9.26e-05
Tannerella sp. oral taxon BU063	3.75e-05	6.58e-05	4.79e-05
Eubacterium sp. CAG:86	3.59e-05	9.42e-05	2.13e-05
Clostridium sp. VE202-10	8.11e-05	7.07e-05	0
Clostridia bacterium UC5.1-1E11	1.99e-05	7.03e-05	6.31e-05
